,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
101,,,,,,,,,,,,,,,,,,,F-99,Visualización de información de operación de violación,"Utilizando la información del evento transmitida al centro de control del vehículo, si se identifica cualquier operación en violación de la ley, la información de advertencia se muestra en el dispositivo terminal del conductor.",,,,,
102,,,,,,,,,,,,,,,,,,,F-100,Recepción de información,"Se recibe la información procesada por el centro y mostrada en los dispositivos terminales de los conductores (información de operación, información de accidentes, información de operación de violación, etc.).",,,,,
103,,,,,,,,,,,,,,,,,,,F-101,Colección de información,"Se recopila la información de ubicación del vehículo, información de eventos, información de operación del vehículo, etc. proporcionada por los vehículos.",,,,,
104,,,,,,,,,,,,,,,,,,,F-102,Monitoreo de la información de ubicación del vehículo,Las ubicaciones de todos los vehículos se identifican utilizando la información de operación recopilada de los vehículos.,,,,,
105,,,,,,,,,,,,,,,,,,,F-103,Detección de operación de violación,Cualquier vehículo que opere en violación de la ley se detecta con base en la información de operación recopilada del vehículo.,,,,,
106,,,,,,,,,,,,,,,,,,,F-104,Detección de accidentes de tránsito,"El ""siniestro"" en cualquier vehículo se detecta, en función de la información del evento recopilada del vehículo.",,,,,
107,,,,,,,,,,,,,,,,,,,F-105,Despacho de vehículos,"En función de la información relacionada con la operación recopilada, los vehículos se despachan según sea necesario.",,,,,
108,,,,,,,,,,,,,,,,,,,F-106,Gestión de rutas de autobuses,"Cuando se cambian las rutas del autobús, la información de la ruta se actualiza.",,,,,
109,,,,,,,,,,,,,,,,,,,F-107,Suministro de información del autobús,"La información procesada, como la información de ubicación del autobús en tiempo real, la información estimada de llegada, la información de los vehículos detectados mientras se opera en violación de la ley, la información de respuesta a ""siniestros"", etc., se proporciona a los autobuses, el tablero de situación y el BIT.",,,,,
110,,,,,,,,,,,,,,,,,,,F-108,Manejo de datos,"Los datos procesados se almacenan, gestionan y utilizan.",,,,,
111,,,,,,,,,,,,,,,,,,,F-109,Generación de datos para soporte administrativo,Los datos recopilados se procesan y analizan para generar los datos necesarios para la administración de los autobuses.,,,,,
112,,,,,,,,,,,,,,,,,,,F-110,Otras funciones gerenciales,Gestión del sistema nodo / enlace.,,,,,
113,,,,,,,,,,,,,,,,,,,F-111,Colección de información,"Se recopila información como: conducir con las puertas abiertas, el estado anormal del vehículo, etc. (basado en los sensores instalados)",,,,,
114,,,,,,,,,,,,,,,,,,,F-112,Visualización de información,Se recopila información de los eventos que tienen lugar dentro del vehículo (basado en el informe del conductor),,,,,
115,,,,,,,,,,,,,,,,,,,F-113,Recepción de información,"Se recopila la identificación del bus, la ubicación del bus (GPS), el tiempo de transmisión, etc.",,,,,
116,,,,,,,,,,,,,,,,,,,F-114,Función de control remoto,"La información recopilada de los vehículos, como la información de operación del vehículo, la información del evento, la información de ubicación del vehículo, etc., se transmite al centro.",,,,,
117,,,,,,,,,,,,,,,,,,,F-115,Monitoreo Geomecánico y Salud Estructural,"Captura y procesamiento de datos de instrumentación geotécnica (inclinómetros, celdas de carga) para alertas tempranas de estabilidad en taludes y estructuras.",,,,,
118,,,,,,,,,,,,,,,,,,,F-116,Control de Actuadores y Sistemas de Drenaje,Gestión y activación remota/automática de sistemas de bombeo basada en sensores de nivel crítico y pluviosidad para mitigar inundaciones en calzada.,,,,,
119,,,,,,,,,,,,,,,,,,,F-117,Retroalimentación Pedagógica de Velocidad,Provisión de datos de velocidad en tiempo real a paneles informativos para inducir cambios conductuales y sensibilización en el usuario de la vía.,,,,,
120,,,,,,,,,,,,,,,,,,,F-118,Gestión de Velocidad Media por Tramo,Cálculo de velocidad promedio entre dos o más puntos de control para el monitoreo de la disciplina de tráfico en segmentos críticos del corredor.,,,,,
121,,,,,,,,,,,,,,,,,,,F-119,Gestión de Información para Usuarios Vulnerables,"Detección y señalización prioritaria para peatones y ciclistas en zonas de interfaz urbana, cruces escolares y ciclorrutas integradas.",,,,,
122,,,,,,,,,,,,,,,,,,,F-120,Monitoreo de Redes de Servicios e Interferencias,"Supervisión del estado operativo y disponibilidad de infraestructura de servicios públicos (energía, agua) vinculada al corredor vial y áreas urbanas.",,,,,
123,,,,,,,,,,,,,,,,,,,F-121,Orquestación de Integración de Datos (ESB),Gestión del flujo de información transaccional entre subsistemas mediante un bus de servicios para asegurar la interoperabilidad y sincronización.,,,,,
124,,,,,,,,,,,,,,,,,,,F-122,Representación Visual en Gemelo Digital,"Modelado dinámico de eventos, activos y sensores en una plataforma geoespacial 3D (LOD 500) para análisis predictivo y toma de decisiones.",,,,,
